Qty,Name,Designator,Price,,
2,10uF,"C14,C17",0.09,0.18,https://www.digikey.pt/pt/products/detail/samsung-electro-mechanics/CL10A106KP8NNNC/3886850
1,100nF,C18,0.09,0.09,https://www.digikey.pt/pt/products/detail/samsung-electro-mechanics/CL05B104KP5VPNC/20498482
1,WS2812C-2020,L1,0,0,------
5,10K,"R1,R2,R3,R4,R5",0.09,0.45,https://www.digikey.pt/pt/products/detail/yageo/RC0603FR-0710KL/726880
1,ESP32-S3-MINI-1-N8,U1,4.56,4.56,https://www.digikey.pt/pt/products/detail/espressif-systems/ESP32-S3-MINI-1-N8/15295890
1,A-MicroTF-1.85A,U2,0.96,0.96,https://www.digikey.pt/pt/products/detail/gct/MEM2052-00-195-00-A/18091687
1,AP2112K-3.3TRG1,U5,0.19,0.19,https://www.digikey.pt/pt/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746
1,AH3377-W-7,U9,0.33,0.33,https://www.digikey.pt/pt/products/detail/diodes-incorporated/AH3327-W-7/22310022
1,PCB,,3.07,3.07,
,,,,,
,,Total:,9.83,€,
,,,11.5011,$,
